Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
cloud;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔamsː;0.98;"Proto-Lezgian: *ʔamsː; Proto-Nakh: *marxo; Proto-Yeniseian: *ʔas=pur; Ancient Attic Greek (Plato) [grc]: népʰ-os {νέφος}"
cloud;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wahawaha;0.88;Are'are (Ma'asupa): wahawaha
cold;branch_african;Proto-Sapiens Africanus (Праафриканский);*!qʰai;0.98;"Proto-Kalahari Khoe: *!qʰai; Proto-Khoekhoe: *!xai; Proto North Khoisan: *ǂàʔū"
cold;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*meƛʼä-;0.98;"Proto-Lezgian: *meƛʼä-; Proto-Nakh: *pšeː-l-i(n); Proto-Taa: *ǁãʔũ; Ancient Attic Greek (Plato) [grc]: psüːkʰ-r-ó-s {ψυχρός}"
cold;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ǯiǯi;0.98;Proto-Jabuti: *ǯiǯi
come;branch_african;Proto-Sapiens Africanus (Праафриканский);*ha;0.98;"Proto-Kalahari Khoe: *ha; Proto-Khoekhoe: *ha; Proto North Khoisan: *cí; Proto-!Wi: *sa ~ *si"
come;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*gʷem-;0.98;"Праиндоевропейский / Proto-Indo-European: *gʷem-; Proto-Lezgian: *ʔiqːʷˤä-; *ʔVʔʷV(r)-; Proto-Nakh: *=aʔ-; Proto-Taa: *si"
come;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wɨʔ- / wɨk-;0.98;"Proto-Cahuapanan: *wɨʔ- / *wɨk-; Proto-Jabuti: *pɾəy"
die;branch_african;Proto-Sapiens Africanus (Праафриканский);*m-w-t;0.98;"Праафразийский праязык / Proto-Afroasiatic: *m-w-t; Прасемитский / Proto-Semitic: *mwt; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Proto-Kalahari Khoe: *ǁʼo"
die;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*mürV;0.98;"Ностратический праязык / Proto-Nostratic: *mürV; Сино-кавказский праязык / Proto-Sino-Caucasian: *q̇wV; Прасино-тибетский / Proto-Sino-Tibetan: *s-yəy; Праиндоевропейский / Proto-Indo-European: *mer-"
die;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*timin-;0.98;"Proto-Cahuapanan: *timin-; Proto-Jabuti: *ʔi- #"
dog;branch_african;Proto-Sapiens Africanus (Праафриканский);*k-l-b;0.98;"Праафразийский праязык / Proto-Afroasiatic: *k-l-b; Прасемитский / Proto-Semitic: *kalb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ṯzm / jwr; Proto-Kalahari Khoe: *haˤri-gu #"
dog;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ḳwVn-;0.98;"Борейский праязык / Proto-Borean: *ḳwVn-; Ностратический праязык / Proto-Nostratic: *ḳüjnV; Сино-кавказский праязык / Proto-Sino-Caucasian: *x̣wVjV; Прасино-тибетский / Proto-Sino-Tibetan: *kʷəy"
dog;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*niʼniʔ;0.98;"Proto-Cahuapanan: *niʼniʔ; Proto-Jabuti: *way #"
drink;branch_african;Proto-Sapiens Africanus (Праафриканский);*šty;0.98;"Прасемитский / Proto-Semitic: *šty; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: swr; Proto-Kalahari Khoe: *xʼa; Proto-Khoekhoe: *xʼa"
drink;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*póh₃y-;0.98;"Праиндоевропейский / Proto-Indo-European: *póh₃y-; Прауральский / Proto-Uralic: *juxi-; Proto-Lezgian: *HVqːVr-; Proto-Nakh: *maɬ-"
drink;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*u-;0.98;"Proto-Cahuapanan: *u-; Proto-Jabuti: *ʔɔ #"
dry;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǁxo;0.98;"Proto-Kalahari Khoe: *ǁxo; Proto-Khoekhoe: *ǀʼo; Proto North Khoisan: *kxau; Proto-!Wi: *ǁo #"
